sample_id,dialogue_id,utterance_id,speaker,utterance,context,gold_label,prompt_type,input_condition,model_name,custom_id,raw_output,confidence,reason,is_demo,free_emotions,free_emotions_norm,mapped_label,mapping_method,mapping_confidence,mapping_reason,is_correct
S0004,2,1,Estelle,Well! Well! Well! Joey Tribbiani! So you came back huh? They,"Joey: Hey Estelle, listen",surprise,perturbation,text-only,qwen-vl-plus,perturbation:S0004:text_only,"{\n  ""free_emotions"": [""surprise"", ""mockery""],\n  ""confidence"": 0.8,\n  ""reason"": ""The repetition of 'Well!' and the tone suggest surprise, while addressing Joey Tribbiani with a casual tone implies mockery.""\n}",0.8,"The repetition of 'Well!' and the tone suggest surprise, while addressing Joey Tribbiani with a casual tone implies mockery.",false,surprise|mockery,surprise|mockery,surprise,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,true
S0004,2,1,Estelle,Well! Well! Well! Joey Tribbiani! So you came back huh? They,"Joey: Hey Estelle, listen",surprise,perturbation,text + context,qwen-vl-plus,perturbation:S0004:text_plus_context,"{\n  ""free_emotions"": [""surprise"", ""mockery""],\n  ""confidence"": 0.8,\n  ""reason"": ""The repetition of 'Well!' and the tone suggest surprise, while the mention of 'Joey Tribbiani' implies a mocking or teasing tone.""\n}",0.8,"The repetition of 'Well!' and the tone suggest surprise, while the mention of 'Joey Tribbiani' implies a mocking or teasing tone.",false,surprise|mockery,surprise|mockery,surprise,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,true
S0005,20,4,Rachel,"Oh, y'know Joey, you are sick!","Monica: Hi, how are you doing Kelly? Rachel: I'm doing just fine! God, Tiffany, you smell so great! Monica: It's my new perfume. Why don't you come closer where you can",disgust,perturbation,text-only,qwen-vl-plus,perturbation:S0005:text_only,"{\n  ""free_emotions"": [""disgust"", ""annoyance""],\n  ""confidence"": 0.8,\n  ""reason"": ""The phrase 'you are sick' in this context suggests a negative reaction, likely indicating disgust or annoyance towards Joey.""\n}",0.8,"The phrase 'you are sick' in this context suggests a negative reaction, likely indicating disgust or annoyance towards Joey.",false,disgust|annoyance,disgust|annoyance,disgust,dictionary_tie_break,0.6,Dictionary labels tied; used first generated emotion as tie-break.,true
S0005,20,4,Rachel,"Oh, y'know Joey, you are sick!","Monica: Hi, how are you doing Kelly? Rachel: I'm doing just fine! God, Tiffany, you smell so great! Monica: It's my new perfume. Why don't you come closer where you can",disgust,perturbation,text + context + image,qwen-vl-plus,perturbation:S0005:text_plus_context_plus_image,"{\n  ""free_emotions"": [""disgust"", ""annoyance""],\n  ""confidence"": 0.85,\n  ""reason"": ""Rachel's statement 'you are sick!' and her facial expression in the image suggest she is expressing disgust or annoyance towards Joey.""\n}",0.85,Rachel's statement 'you are sick!' and her facial expression in the image suggest she is expressing disgust or annoyance towards Joey.,false,disgust|annoyance,disgust|annoyance,disgust,dictionary_tie_break,0.6,Dictionary labels tied; used first generated emotion as tie-break.,true
S0005,20,4,Rachel,"Oh, y'know Joey, you are sick!","Monica: Hi, how are you doing Kelly? Rachel: I'm doing just fine! God, Tiffany, you smell so great! Monica: It's my new perfume. Why don't you come closer where you can",disgust,perturbation,text + context,qwen-vl-plus,perturbation:S0005:text_plus_context,"{\n  ""free_emotions"": [""disgust"", ""mocking""],\n  ""confidence"": 0.8,\n  ""reason"": ""Rachel's statement 'you are sick!' combined with the informal tone suggests a mocking or playful disgust, likely in response to Joey's behavior or smell.""\n}",0.8,"Rachel's statement 'you are sick!' combined with the informal tone suggests a mocking or playful disgust, likely in response to Joey's behavior or smell.",false,disgust|mocking,disgust|mocking,disgust,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,true
S0006,23,2,Ross,"My marriage, I think my marriage is um, is kinda over.","Ross: Hi. Where is everybody? Phoebe: Oh, its already closed, Chris gave me the keys to lock up-what is wrong?",sadness,perturbation,text-only,qwen-vl-plus,perturbation:S0006:text_only,"{\n  ""free_emotions"": [""sadness"", ""resignation""],\n  ""confidence"": 0.8,\n  ""reason"": ""The speaker expresses a sense of finality and emotional weight regarding their marriage, indicating sadness and resignation.""\n}",0.8,"The speaker expresses a sense of finality and emotional weight regarding their marriage, indicating sadness and resignation.",false,sadness|resignation,sadness|resignation,sadness,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,true
S0006,23,2,Ross,"My marriage, I think my marriage is um, is kinda over.","Ross: Hi. Where is everybody? Phoebe: Oh, its already closed, Chris gave me the keys to lock up-what is wrong?",sadness,perturbation,text + context,qwen-vl-plus,perturbation:S0006:text_plus_context,"{\n  ""free_emotions"": [""sadness"", ""resignation""],\n  ""confidence"": 0.85,\n  ""reason"": ""The speaker expresses a sense of finality and emotional weight regarding their marriage, indicating sadness and resignation.""\n}",0.85,"The speaker expresses a sense of finality and emotional weight regarding their marriage, indicating sadness and resignation.",false,sadness|resignation,sadness|resignation,sadness,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,true
S0006,23,2,Ross,"My marriage, I think my marriage is um, is kinda over.","Ross: Hi. Where is everybody? Phoebe: Oh, its already closed, Chris gave me the keys to lock up-what is wrong?",sadness,perturbation,text + context + image,qwen-vl-plus,perturbation:S0006:text_plus_context_plus_image,"{\n  ""free_emotions"": [""sadness"", ""concern""],\n  ""confidence"": 0.85,\n  ""reason"": ""Ross's statement about his marriage being 'kinda over' indicates sadness and concern, supported by his somber facial expression in the image.""\n}",0.85,"Ross's statement about his marriage being 'kinda over' indicates sadness and concern, supported by his somber facial expression in the image.",false,sadness|concern,sadness|concern,sadness,dictionary_tie_break,0.6,Dictionary labels tied; used first generated emotion as tie-break.,true
S0008,28,1,Phoebe,"Oh, this life! Oh okay no, Chandler's is worse.",Ross: In,sadness,perturbation,text + context,qwen-vl-plus,perturbation:S0008:text_plus_context,"{\n  ""free_emotions"": [""frustration"", ""exasperation""],\n  ""confidence"": 0.85,\n  ""reason"": ""Phoebe's use of 'Oh, this life!' and the comparison to Chandler's situation suggests she is feeling frustrated and exasperated by the current circumstances.""\n}",0.85,"Phoebe's use of 'Oh, this life!' and the comparison to Chandler's situation suggests she is feeling frustrated and exasperated by the current circumstances.",false,frustration|exasperation,frustration|exasperation,anger,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0007,27,6,Monica,"Phoebe, come on, you have to tell us.","Chandler: Why not? Phoebe: I cant say because hes famous. Rachel: Oh my God, who is it?!",anger,perturbation,text-only,qwen-vl-plus,perturbation:S0007:text_only,"{\n  ""free_emotions"": [""persuasive"", ""urgent""],\n  ""confidence"": 0.8,\n  ""reason"": ""Monica's tone suggests she is trying to convince Phoebe to share information, indicating a persuasive and urgent emotional state.""\n}",0.8,"Monica's tone suggests she is trying to convince Phoebe to share information, indicating a persuasive and urgent emotional state.",false,persuasive|urgent,persuasive|urgent,joy,llm_mapping_fallback,0.9,"The utterance 'Phoebe, come on, you have to tell us.' conveys a persuasive and urgent tone, likely driven by excitement or eagerness to hear the information, which aligns with the coarse emotion label of joy.",false
S0008,28,1,Phoebe,"Oh, this life! Oh okay no, Chandler's is worse.",Ross: In,sadness,perturbation,text-only,qwen-vl-plus,perturbation:S0008:text_only,"{\n  ""free_emotions"": [""frustration"", ""exasperation""],\n  ""confidence"": 0.85,\n  ""reason"": ""Phoebe's use of 'Oh, this life!' and the comparison to Chandler's situation suggests she is feeling frustrated and exasperated by her circumstances.""\n}",0.85,"Phoebe's use of 'Oh, this life!' and the comparison to Chandler's situation suggests she is feeling frustrated and exasperated by her circumstances.",false,frustration|exasperation,frustration|exasperation,anger,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0007,27,6,Monica,"Phoebe, come on, you have to tell us.","Chandler: Why not? Phoebe: I cant say because hes famous. Rachel: Oh my God, who is it?!",anger,perturbation,text + context,qwen-vl-plus,perturbation:S0007:text_plus_context,"{\n  ""free_emotions"": [""impatience"", ""curiosity""],\n  ""confidence"": 0.85,\n  ""reason"": ""Monica's tone and phrasing suggest she is urging Phoebe to speak, indicating impatience, while her question reflects curiosity about the identity of the famous person.""\n}",0.85,"Monica's tone and phrasing suggest she is urging Phoebe to speak, indicating impatience, while her question reflects curiosity about the identity of the famous person.",false,impatience|curiosity,impatience|curiosity,surprise,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0008,28,1,Phoebe,"Oh, this life! Oh okay no, Chandler's is worse.",Ross: In,sadness,perturbation,text + context + image,qwen-vl-plus,perturbation:S0008:text_plus_context_plus_image,"{\n  ""free_emotions"": [""frustration"", ""exasperation""],\n  ""confidence"": 0.85,\n  ""reason"": ""Phoebe's tone and the context of comparing situations suggest she is expressing frustration or exasperation about Chandler's situation being worse.""\n\n  \n  \n\n  \n  \n\n\n  \n  \n\n\n  \n  \n\n\n  \n  \n\n\n  \n  \n\n\n  \n  \n\n\n  \n  \n\n\n  \n  \n\n\n  \n  \n\n\n  \n  \n\n\n  \n  \n\n\n  \n  \n\n\n  \n  \n\n\n  \n  \n\n\n  \n  \n\n\n  \n  \n\n\n  \n  \n\n\n  \n  \n\n\n  \n  \n\n\n  \n  \n\n\n",0.85,Phoebe's tone and the context of comparing situations suggest she is expressing frustration or exasperation about Chandler's situation being worse.,false,frustration|exasperation,frustration|exasperation,anger,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
